**********************
Windows PowerShell transcript start
Start time: 20260817211956
Username: DESKTOP-KE0DR9U\Duy
RunAs User: DESKTOP-KE0DR9U\Duy
Configuration Name: 
Machine: DESKTOP-KE0DR9U (Microsoft Windows NT 10.0.26200.0)
Host Application: powershell.exe -NoProfile -NoExit -ExecutionPolicy Bypass -File .\work\launch_official_spike_runner_console.ps1
Process ID: 10568
PSVersion: 5.1.26100.9168
PSEdition: Desktop
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1.26100.9168
BuildVersion: 10.0.26100.9168
CLRVersion: 4.0.30319.42000
WSManStackVersion: 3.0
PSRemotingProtocolVersion: 2.3
SerializationVersion: 1.1.0.1
**********************
OFFICIAL SPIKE K6_RUN_ID=20260817t134816776
OFFICIAL COMMAND=& "C:\Users\Duy\Desktop\automation-testing-hw04\work\calibration-tools\k6-v2.1.0-windows-amd64\k6.exe" run --no-color -e BASE_URL=http://localhost:3000 -e K6_RUN_ID=20260817t134816776 --summary-export C:\Users\Duy\Desktop\automation-testing-hw04\out\23127179_Spike_20260817_evidence\20260817t134816776\summary.json --out json=C:\Users\Duy\Desktop\automation-testing-hw04\out\23127179_Spike_20260817_evidence\20260817t134816776\raw-results.ndjson --out csv=C:\Users\Duy\Desktop\automation-testing-hw04\out\23127179_Spike_20260817_evidence\20260817t134816776\spike-metrics.csv C:\Users\Duy\Desktop\automation-testing-hw04\out\23127179_Spike_20260817_evidence\20260817t134816776\23127179_Spike_20260817.js
NATIVE K6 CSV REPORT=C:\Users\Duy\Desktop\automation-testing-hw04\out\23127179_Spike_20260817_evidence\20260817t134816776\spike-metrics.csv
SPIKE_PHASE=graceful_completion TARGET_VUS=0 ACTUAL_VUS=0 RUN_ID=20260817t134816776 ELAPSED=239.5
{
    "test_name":  "23127179_Spike_20260817",
    "official_run":  true,
    "run_id":  "20260817t134816776",
    "commit_hash":  "949cf066df974d1299ca68b5bfeb21a95850e4bf",
    "k6_version":  "k6.exe v2.1.0 (commit/83a87a41e2, go1.26.4, windows/amd64)",
    "command":  "\u0026 \"C:\\Users\\Duy\\Desktop\\automation-testing-hw04\\work\\calibration-tools\\k6-v2.1.0-windows-amd64\\k6.exe\" run --no-color -e BASE_URL=http://localhost:3000 -e K6_RUN_ID=20260817t134816776 --summary-export C:\\Users\\Duy\\Desktop\\automation-testing-hw04\\out\\23127179_Spike_20260817_evidence\\20260817t134816776\\summary.json --out json=C:\\Users\\Duy\\Desktop\\automation-testing-hw04\\out\\23127179_Spike_20260817_evidence\\20260817t134816776\\raw-results.ndjson --out csv=C:\\Users\\Duy\\Desktop\\automation-testing-hw04\\out\\23127179_Spike_20260817_evidence\\20260817t134816776\\spike-metrics.csv C:\\Users\\Duy\\Desktop\\automation-testing-hw04\\out\\23127179_Spike_20260817_evidence\\20260817t134816776\\23127179_Spike_20260817.js",
    "started_at_utc":  "2026-08-17T14:19:57.5310384Z",
    "ended_at_utc":  "2026-08-17T14:23:58.3573547Z",
    "elapsed_seconds":  240.826,
    "k6_exit_code":  0,
    "threshold_exit":  false,
    "backend_pid":  11976,
    "backend_process_available_at_end":  true,
    "k6_pid":  24360,
    "backend_restarted_before_run":  true,
    "database_reseeded_before_run":  true,
    "script_sha256":  "CC01F02F8F06064E14D7C1241CE2C4908808BD2B3CDA2E7A597C538DFFD08AE6",
    "csv_sha256":  "1B975A6859AF027A78029ED4189C0CFCC0FC129726D05F95493313FB4688BED1",
    "raw_output_exists":  true,
    "raw_output_bytes":  12181217,
    "summary_exists":  true,
    "designated_report_type":  "Native k6 CSV metrics output",
    "designated_report_exists":  true,
    "designated_report_bytes":  6977717,
    "actual_vu_authoritative_source":  "spike-metrics.csv metric_name=vus rows",
    "process_resource_samples":  352,
    "system_resource_samples":  176,
    "visual_evidence_status":  "Requires verification of real same-run rolling captures and screenshot manifest."
}
**********************
Windows PowerShell transcript end
End time: 20260817212358
**********************
